Ion,wave_air,wave_vac,primary,Name
Fe I,3816.0,3816.0,1,Fe I
Fe I,3820.0,3820.0,1,Fe I
Fe I,3826.0,3826.0,1,Fe I
Fe I,3828.0,3828.0,1,Fe I
Fe I,3834.0,3834.0,1,Fe I
Fe I,3840.0,3840.0,1,Fe I
Fe I,3841.0,3841.0,1,Fe I
Mg I,3829.0,3829.0,1,Mg I
Mg I,3832.0,3832.0,1,Mg I
Mg I,3838.0,3838.0,1,Mg I
Ca II,3968.0,3968.0,1,Ca II
Ca II,8498.0,8498.0,1,Ca II
Ca II,8542.0,8542.0,1,Ca II
Ca II,8662.0,8662.0,1,Ca II
CN-bands,3880.0,3880.0,1,CN-bands
CN-bands,4216.0,4216.0,1,CN-bands
CN-bands,9190.0,9190.0,1,CN-bands
CN-bands,9381.0,9381.0,1,CN-bands
MnI,4031.0,4031.0,1,MnI
MnI,4036.0,4036.0,1,MnI
FeI,4072.0,4072.0,1,FeI
FeI,4075.0,4075.0,1,FeI
FeI,4144.0,4144.0,1,FeI
FeI,4148.0,4148.0,1,FeI
FeI,4171.0,4171.0,1,FeI
FeI,4173.0,4173.0,1,FeI
FeI,4174.0,4174.0,1,FeI
FeI,4175.0,4175.0,1,FeI
Ca I,4227.0,4227.0,1,Ca I
G-band,4310.0,4310.0,1,G-band
Mg I,4703.0,4703.0,1,Mg I
Fe I,4383.0,4383.0,1,Fe I
Fe I,4405.0,4405.0,1,Fe I
Ti I,4533.0,4533.0,1,Ti I
Ti I,4535.0,4535.0,1,Ti I
Ti I,4536.0,4536.0,1,Ti I
Ti I,4997.0,4997.0,1,Ti I
Ti I,4999.0,4999.0,1,Ti I
Ti I,5000.0,5000.0,1,Ti I
Ti I,5007.0,5007.0,1,Ti I
Ti I,5013.0,5013.0,1,Ti I
Mg I,5167.0,5167.0,1,Mg I
Mg I,5172.0,5172.0,1,Mg I
Mg I,5183.0,5183.0,1,Mg I
Fe I,5269.0,5269.0,1,Fe I
Fe I,5328.0,5328.0,1,Fe I
Fe I,5371.0,5371.0,1,Fe I
Fe I,5397.0,5397.0,1,Fe I
Fe I,5406.0,5406.0,1,Fe I
Fe I,5430.0,5430.0,1,Fe I
Fe I,5434.0,5434.0,1,Fe I
Fe I,5447.0,5447.0,1,Fe I
Fe I,5456.0,5456.0,1,Fe I
Fe I,5587.0,5587.0,1,Fe I
Fe I,5698.0,5698.0,1,Fe I
Na I,5890.0,5890.0,1,Na I
Na I,5896.0,5896.0,1,Na I
Na I,8183.0,8183.0,1,Na I
Na I,8195.0,8195.0,1,Na I
TiI,6258.0,6258.0,1,TiI
TiI,6259.0,6259.0,1,TiI
TiI,6261.0,6261.0,1,TiI
TiO,5603.0,5603.0,1,TiO
TiO,6159.0,6159.0,1,TiO
TiO,7590.0,7590.0,1,TiO
TiO,8430.0,8430.0,1,TiO
TiO,8863.0,8863.0,1,TiO
ZrO,8192.0,8192.0,1,ZrO
ZrO,8210.0,8210.0,1,ZrO
ZrO,9299.0,9299.0,1,ZrO
ZrO,9315.0,9315.0,1,ZrO
ZrO,9329.0,9329.0,1,ZrO
H19,3686.831,3687.881,0,H19
H18,3691.551,3692.602,0,H18
H17,3697.157,3698.209,0,H17
H16,3703.859,3704.913,0,H16
H15,3711.977,3713.033,0,H15
H14,3721.945,3723.004,0,H14
H13,3734.369,3735.431,0,H13
H12,3750.158,3751.224,0,H12
H11,3770.637,3771.708,0,H11
H10,3797.904,3798.982,0,H10
H9,3835.391,3836.479,0,H9
H8,3889.064,3890.166,0,H8
K,3933.66,3934.773,1,K
H,3968.47,3969.593,1,H
Hε,3970.079,3971.202,0,Hε
Hδ,4101.742,4102.9,1,Hδ
Hγ,4340.471,4341.691,1,Hγ
Hβ,4861.333,4862.691,1,Hβ
HeI,5875.624,5877.253,0,HeI
Hα,6562.819,6564.632,1,Hα
H2,19564.642,19570.0,0,H2
H2,20326.434,20332.0,0,H2
H2,21207.193,21213.0,0,H2
H2,22223.915,22230.0,0,H2
H2,22463.85,22470.0,0,H2
Paγ,10938.096,10941.1,1,Paγ
Paβ,12818.084,12821.6,1,Paβ
Paα,18750.964,18756.1,1,Paα
CIII,5695.92,5697.5,1,CIII
CIV,5801.33,5802.939,1,CIV
