Ion,wave_air,wave_vac,primary,Name
NeVIII,769.425,770.409,0,NeVIII
NeVIII,779.362,780.324,0,NeVIII
Lyε,937.083,937.814,0,Lyε
Lyδ,949.022,949.742,0,Lyδ
CIII,976.333,977.03,0,CIII
NIII,989.102,989.79,0,NIII
NIII,990.827,991.514,0,NIII
NIII,990.892,991.579,0,NIII
Lyβ,1025.058,1025.722,1,Lyβ
OVI,1031.251,1031.912,0, 
OVI,1036.956,1037.613,0,OVI
ArI,1066.018,1066.66,1,ArI
Lyα,1215.076,1215.67,1,Lyα
NV,1238.231,1238.821,1,
NV,1242.215,1242.804,1,NV
SiII,1259.835,1260.422,0,SiII
SiII,1264.144,1264.73,0,SiII
OI,1301.586,1302.168,1,OI
CII,1333.953,1334.532,0,CII
CII,1335.129,1335.708,1,CII
SiIV,1393.178,1393.755,1, 
OIV],1396.655,1397.232,0,OIV]
OIV],1399.203,1399.78,0,OIV]
SiIV,1402.193,1402.77,1,SiIV
NIV],1485.917,1486.496,0,NIV]
CIV,1547.604,1548.187,1, 
CIV,1550.189,1550.772,1,CIV
HeII,1639.829,1640.42,1,HeII
OIII],1660.216,1660.809,0,OIII]
OIII],1665.556,1666.15,0,OIII]
NIII],1746.218,1746.823,0,NIII]
NIII],1748.051,1748.656,0,NIII]
AlIII,1854.095,1854.716,0,AlIII
AlIII,1862.167,1862.79,0,AlIII
SiIII],1891.402,1892.03,0,SiIII]
CIII],1908.104,1908.734,1,CIII]
NII],2142.78,2143.455,0,NII]
[OIII],2320.951,2321.664,0,[OIII]
CII],2323.5,2324.214,0,CII]
CII],2324.69,2325.404,0,CII]
[FeXI],2648.71,2649.499,0,[FeXI]
HeII,2733.289,2734.098,0,HeII
[MgV],2782.7,2783.521,0,[MgV]
MgII],2795.528,2796.352,1, 
MgII],2802.705,2803.531,1,MgII]
[FeIV],2829.36,2830.192,0,[FeIV]
[FeIV],2835.74,2836.574,0,[FeIV]
[ArIV],2853.67,2854.508,0,[ArIV]
[ArIV],2868.21,2869.052,0,[ArIV]
[MgV],2928.0,2928.857,0,[MgV]
HeI,2945.106,2945.967,0,HeI
OIII,3132.794,3133.702,1,OIII
HeI,3187.745,3188.667,1,HeI
HeII,3203.1,3204.026,0,HeII
OIII,3312.329,3313.282,0,OIII
[NeV],3345.821,3346.783,0,[NeV]
[NeV],3425.881,3426.863,0,[NeV]
OIII,3444.052,3445.039,0,OIII
[NI],3466.497,3467.49,0,[NI]
[NI],3466.543,3467.536,0,[NI]
HeI,3487.727,3488.725,0,HeI
[FeVII],3586.32,3587.344,0,[FeVII]
[FeVI],3662.5,3663.543,0,[FeVI]
H19,3686.831,3687.881,0,H19
H18,3691.551,3692.602,0,H18
H17,3697.157,3698.209,0,H17
H16,3703.859,3704.913,0,H16
H15,3711.977,3713.033,0,H15
H14,3721.945,3723.004,0,H14
[OII],3726.032,3727.092,0, 
[OII],3728.815,3729.875,1,[OII]
H13,3734.369,3735.431,0,H13
H12,3750.158,3751.224,0,H12
[FeVII],3758.92,3759.988,0,[FeVII]
H11,3770.637,3771.708,0,H11
H10,3797.904,3798.982,0,H10
H9,3835.391,3836.479,0,H9
[FeV],3839.27,3840.359,0,[FeV]
[NeIII],3868.76,3869.857,0,[NeIII]
HeI,3888.647,3889.749,0,HeI
H8,3889.064,3890.166,0,H8
[FeV],3891.28,3892.383,0,[FeV]
[FeV],3911.33,3912.438,0,[FeV]
K,3933.66,3934.773,1, 
[NeIII],3967.47,3968.593,0,[NeIII]
H,3968.47,3969.593,1,H K
Hε,3970.079,3971.202,0,Hε
HeI,4026.19,4027.328,0,HeI
[SII],4068.6,4069.749,0,[SII]
[FeV],4071.24,4072.39,0,[FeV]
[SII],4076.349,4077.5,0,[SII]
Hδ,4101.742,4102.9,1,Hδ
HeI,4143.761,4144.93,0,HeI
FeII,4178.862,4180.04,0,FeII
[FeV],4180.6,4181.778,0,[FeV]
[FeV],4227.19,4228.381,0,[FeV]
FeII,4233.172,4234.364,0,FeII
[FeII],4287.394,4288.6,0,[FeII]
FeII,4303.176,4304.387,0,FeII
G-band,4304.398,4305.61,0,G-band
OII,4317.139,4318.353,0,OII
Hγ,4340.471,4341.691,1,Hγ
[OIII],4363.21,4364.436,0,[OIII]
[ArXIV],4412.3,4413.539,0,[ArXIV]
OII,4414.899,4416.139,0,OII
FeII,4416.83,4418.07,0,FeII
[FeII],4452.098,4453.348,0,[FeII]
HeI,4471.479,4472.734,0,HeI
FeII,4489.183,4490.443,0,FeII
FeII,4491.405,4492.665,0,FeII
NIII,4510.91,4512.175,0,NIII
FeII,4522.634,4523.902,0,FeII
FeII,4555.893,4557.17,0,FeII
FeII,4582.835,4584.119,0,FeII
FeII,4583.837,4585.122,0,FeII
FeII,4629.339,4630.636,0,FeII
NIII,4634.14,4635.438,0,NIII
NIII,4640.64,4641.94,0,NIII
NIII,4641.85,4643.15,0,NIII
CIII,4647.42,4648.721,0,CIII
CIII,4650.25,4651.552,0,CIII
CIII,4651.47,4652.772,0,CIII
[FeIII],4658.05,4659.354,0,[FeIII]
HeII,4685.71,4687.021,0,HeII
[ArIV],4711.26,4712.578,0,[ArIV]
[ArIV],4740.12,4741.446,0,[ArIV]
Hβ,4861.333,4862.691,1,Hβ
[FeVII],4893.37,4894.736,0,[FeVII]
[FeIV],4903.07,4904.439,0,[FeIV]
FeII,4923.927,4925.302,0,FeII
[OIII],4958.911,4960.295,1, 
[OIII],5006.843,5008.24,1,[OIII]
FeII,5018.44,5019.84,0,FeII
[FeIII],5084.77,5086.187,0,[FeIII]
[FeVI],5145.75,5147.184,0,[FeVI]
[FeVII],5158.89,5160.327,0,[FeVII]
FeII,5169.033,5170.473,0,FeII
Mg,5175.257,5176.7,0,Mg
[FeVI],5176.04,5177.482,0,[FeVI]
FeII,5197.577,5199.024,0,FeII
[NI],5200.257,5201.705,0,[NI]
FeII,5234.625,5236.082,0,FeII
[FeIV],5236.06,5237.518,0,[FeIV]
[FeIII],5270.4,5271.867,0,[FeIII]
FeII,5276.002,5277.47,0,FeII
[FeVII],5276.38,5277.848,0,[FeVII]
[FeXIV],5302.86,5304.335,0,[FeXIV]
[CaV],5309.11,5310.587,0,[CaV]
FeII,5316.615,5318.094,0,FeII
FeII,5316.784,5318.263,0,FeII
[FeVI],5335.18,5336.664,0,[FeVI]
[FeVI],5424.22,5425.728,0,[FeVI]
[ClIII],5517.709,5519.242,0,[ClIII]
[ClIII],5537.873,5539.411,0,[ClIII]
[FeVI],5637.6,5639.165,0,[FeVI]
[FeVI],5677.0,5678.575,0,[FeVI]
CIII,5695.92,5697.5,0,CIII
[FeVII],5720.7,5722.287,0,[FeVII]
[NII],5754.59,5756.186,0,[NII]
CIV,5801.33,5802.939,0,CIV
CIV,5811.98,5813.591,0,CIV
HeI,5875.624,5877.253,1,HeI
Na,5893.964,5895.6,0,Na
OI,6046.44,6048.114,0,OI
[FeVII],6087.0,6088.685,0,[FeVII]
[OI],6300.304,6302.046,0,[OI]
[SIII],6312.06,6313.806,0,[SIII]
SiII,6347.1,6348.855,0,SiII
[OI],6363.776,6365.535,0,[OI]
FeII,6369.462,6371.223,0,FeII
[FeX],6374.51,6376.272,0,[FeX]
FeII,6516.081,6517.881,0,FeII
[NII],6548.05,6549.859,0,[NII]
Hα,6562.819,6564.632,1,Hα
[NII],6583.46,6585.278,0,[NII]
[SII],6716.44,6718.294,0, 
[SII],6730.81,6732.668,0,[SII]
OI,7002.23,7004.161,0,OI
[ArV],7005.87,7007.802,0,[ArV]
HeI,7065.248,7067.2,1,HeI
[ArIII],7135.79,7137.757,0,[ArIII]
[FeII],7155.157,7157.129,0,[FeII]
[ArIV],7170.62,7172.596,0,[ArIV]
[FeII],7172.0,7173.977,0,[FeII]
CII,7236.42,7238.414,0,CII
[ArIV],7237.26,7239.254,0,[ArIV]
OI,7254.448,7256.447,0,OI
[ArIV],7262.76,7264.761,0,[ArIV]
HeI,7281.349,7283.355,0,HeI
[OII],7318.88,7320.9,0,[OII]
[OII],7319.99,7322.007,0,[OII]
[OII],7330.73,7332.75,0,[OII]
[NiII],7377.83,7379.862,0,[NiII]
[NiII],7411.16,7413.201,0,[NiII]
[FeII],7452.538,7454.59,0,[FeII]
NI,7468.31,7470.367,0,NI
[SXII],7611.0,7613.095,0,[SXII]
[ArIII],7751.06,7753.193,0,[ArIII]
OI,7774.156,7776.3,0,OI
HeI,7816.136,7818.287,0,HeI
ArI,7868.194,7870.359,0,ArI
[NiIII],7889.9,7892.071,0,[NiIII]
[FeXI],7891.824,7894.0,0,[FeXI]
HeII,8236.79,8239.054,0,HeII
Pa20,8392.397,8394.703,0,Pa20
Pa19,8413.318,8415.63,0,Pa19
Pa18,8437.956,8440.275,0,Pa18
OI,8446.374,8448.7,0,OI
Pa17,8467.254,8469.581,0,Pa17
CaII,8498.06,8500.4,0,CaII
Pa16,8502.483,8504.819,0,Pa16
CaII,8542.048,8544.4,0,CaII
Pa15,8545.383,8547.731,0,Pa15
[ClII],8578.7,8581.057,0,[ClII]
Pa14,8598.432,8600.8,0,Pa14
[FeII],8616.927,8619.3,0,[FeII]
CaII,8662.115,8664.5,0,CaII
Pa13,8665.014,8667.4,0,Pa13
NI,8680.282,8682.666,0,NI
NI,8703.247,8705.637,0,NI
NI,8711.703,8714.096,0,NI
Pa12,8750.491,8752.9,0,Pa12
Pa11,8862.761,8865.2,0,Pa11
[FeII],8891.91,8894.351,0,[FeII]
Pa10,9014.919,9017.4,0,Pa10
[SIII],9068.605,9071.1,0,[SIII]
[FeII],9226.562,9229.1,0,[FeII]
Pa9,9228.961,9231.5,0,Pa9
[SIII],9530.579,9533.2,0,[SIII]
Paε,9545.975,9548.6,0,Paε
[CI],9824.099,9826.8,0,[CI]
[CI],9850.292,9853.0,0,[CI]
[SVIII],9911.076,9913.8,0,[SVIII]
HeI,10027.73,10030.479,0,HeI
HeI,10031.16,10033.91,0,HeI
Paδ,10049.338,10052.1,0,Paδ
HeII,10123.618,10126.4,0,HeII
[SII],10286.773,10289.6,0,[SII]
[SII],10320.464,10323.3,0,[SII]
[SII],10336.36,10339.2,0,[SII]
[SII],10370.451,10373.3,0,[SII]
[NI],10397.743,10400.6,0,[NI]
[NI],10407.341,10410.2,0,[NI]
[FeXIII],10746.8,10749.744,0,[FeXIII]
HeI,10830.225,10833.2,1,HeI
Paγ,10938.096,10941.1,1,Paγ
OI,11286.901,11290.0,1,OI
[PII],11468.152,11471.3,0,[PII]
HeII,11626.408,11629.6,0,HeII
[PII],11882.839,11886.1,0,[PII]
[SIX],12519.565,12523.0,0,[SIX]
[FeII],12566.752,12570.2,0,[FeII]
[FeII],12787.792,12791.3,0,[FeII]
Paβ,12818.084,12821.6,1,Paβ
OI,13164.889,13168.5,0,OI
[FeII],13205.578,13209.2,0,[FeII]
[SiX],14300.979,14304.9,0,[SiX]
[FeII],15334.697,15338.9,0,[FeII]
[FeII],16435.497,16440.0,0,[FeII]
[FeII],16768.706,16773.3,0,[FeII]
Br11,16806.495,16811.1,0,Br11
Br10,17362.144,17366.9,0,Br10
Brε,18174.122,18179.1,0,Brε
Paα,18750.964,18756.1,1,Paα
Brδ,19445.574,19450.9,0,Brδ
H2,19564.642,19570.0,0,H2
[SiVI],19644.62,19650.0,0,[SiVI]
H2,20326.434,20332.0,0,H2
H2,21207.193,21213.0,0,H2
Brγ,21655.271,21661.2,0,Brγ
H2,22223.915,22230.0,0,H2
H2,22463.85,22470.0,0,H2
[CaVIII],23204.647,23211.0,0,[CaVIII]
